Heteroplasmy,sum_prot_CI-CIV,petc_x_v,petc_x_v_err
0.2,1.0,1.0,0.04793554413
0.3,0.859593966353,0.635868124487,0.0292872098348
0.5,0.713635907555,0.731637936942,0.0353193672467
0.9,0.337135021238,0.394000889764,0.0227499620523
1.0,0.316532325496,0.340151098942,0.0179712822771
1.1,0.111163115823,,
